,Unnamed: 0,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
1375,1375,CHEMBL3325475,2100.0,nM,COC(=O)C1=C(N)N(c2cccnc2)C2=C(C(=O)CCC2)C1c1cc2cc(OC)ccc2n2nnnc12,5.6777807052660805,497.1811522160001,11,1,2.635300000000001,True
1379,1379,CHEMBL116525,2120.0,nM,CC#CC(=O)Nc1cc2c(Nc3cccc(Br)c3)c(C#N)cnc2cc1OC,5.673664139071249,434.03783782000005,5,2,4.582980000000004,True
1381,1381,CHEMBL290106,2147.0,nM,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O,5.668167955563751,353.88426115199997,3,2,5.862600000000001,True
1382,1382,CHEMBL1173718,2150.0,nM,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccc(-c2ccccc2)cc1,5.667561540084394,377.13755608800005,6,0,4.023320000000003,True
1383,1383,CHEMBL5193804,2170.0,nM,Fc1ccc(NCc2coc(/C=C/c3ccc(C(F)(F)F)cc3)n2)cc1,5.66354026615147,362.104225948,3,1,5.615000000000004,True
1385,1385,CHEMBL5171924,2210.0,nM,COc1ccccc1-c1ccc2c(ccn2Cc2coc(/C=C/c3ccc(C(F)(F)F)cc3)n2)c1,5.655607726314889,474.1555125720001,4,0,7.542400000000007,True
1386,1386,CHEMBL590526,2210.0,nM,O=C(Nc1ccccc1)N(Cc1ccc(O)cc1)Cc1cc(Cl)cc(Cl)c1O,5.655607726314889,416.06944779599996,3,3,5.638900000000004,True
1390,1390,CHEMBL1958212,2240.0,nM,Cc1ccc(C2=NN(C3=NC(=O)CS3)C(c3ccccc3)C2)cc1,5.649751981665837,335.109233164,4,0,3.775520000000003,True
1391,1391,CHEMBL1081849,2240.0,nM,Cc1c(C(=O)NCCCN2CCN(C)CC2)[nH]c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c12,5.649751981665837,565.236829196,7,3,4.748720000000004,True
1392,1392,CHEMBL5181577,2250.0,nM,FC(F)(F)c1ccc(/C=C/c2nc(Cn3ccc4cc(-c5cccc(Cl)c5)ccc43)co2)cc1,5.647817481888637,478.10597553599996,3,0,8.187200000000004,True
1393,1393,CHEMBL592211,2270.0,nM,O=C(Nc1ccccc1)N(Cc1ccc(O)cc1)Cc1cccc(Cl)c1O,5.6439741428068775,382.108420148,3,3,4.985500000000004,True
1398,1398,CHEMBL589589,2320.0,nM,CC(C)c1ccc(NC(=O)c2ccc(N(CCCl)CCCl)cc2)cc1,5.634512015109101,378.126568748,2,1,5.346300000000005,True
1399,1399,CHEMBL2325091,2320.0,nM,Brc1ccc(C2=NN(c3ccccc3)C(c3cccc4ccccc34)C2)cc1,5.634512015109101,426.073160708,2,0,6.9580000000000055,True
1402,1402,CHEMBL194160,2400.0,nM,CCc1c(CC(N)=O)cn2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c12,5.619788758288394,425.19640835600006,7,2,3.461100000000002,True
1404,1404,CHEMBL1928944,2421.0,nM,O=[N+]([O-])c1cccc(Oc2cc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)ncn2)c1,5.616005210558267,466.08441089200005,7,1,6.292200000000004,True
1405,1405,CHEMBL591910,2430.0,nM,O=C1CSC(N/N=C/c2ccc(Br)cc2)=N1,5.614393726401688,296.95714497600005,4,1,2.002,True
1408,1408,CHEMBL4084996,2500.0,nM,Clc1ccc(-c2nnc(Cc3nc4ccc(Cl)cc4[nH]3)o2)cc1,5.6020599913279625,344.0231663,4,1,4.510500000000002,True
1411,1411,CHEMBL1958216,2520.0,nM,Cc1ccc(C2=NN(C3=NC(=O)CS3)C(c3ccc(C)cc3)C2)cc1,5.598599459218455,349.124883228,4,0,4.083940000000004,True
1412,1412,CHEMBL589831,2580.0,nM,O=C(Nc1ccc(Br)cc1)c1ccc(N(CCCl)CCCl)cc1,5.58838029403677,413.990130624,2,1,4.985400000000003,True
1413,1413,CHEMBL590714,2660.0,nM,O=C(Nc1ccccc1)N(Cc1ccc(O)cc1)Cc1cccc(Br)c1O,5.575118363368933,426.057904568,3,3,5.094600000000004,True
1416,1416,CHEMBL3633938,2720.0,nM,N#CC(C#N)=CNc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,5.565431095965801,470.10581503199995,7,2,6.087860000000003,True
1417,1417,CHEMBL3746711,2750.0,nM,CC(=O)N1N=C(c2ccc(I)cc2)CC1c1ccc(C(=O)OCCn2c([N+](=O)[O-])cnc2C)cc1,5.560667306169737,587.066566804,8,0,4.258920000000003,True
1418,1418,CHEMBL589823,2750.0,nM,O=C1CSC(N/N=C/c2ccc(Cl)cc2)=N1,5.560667306169737,253.007660556,4,1,1.8929,True
1419,1419,CHEMBL1958221,2750.0,nM,COc1ccc(C2=NN(C3=NC(=O)CS3)C(c3ccc(Br)cc3)C2)cc1,5.560667306169737,429.014659852,5,0,4.2382000000000035,True
1420,1420,CHEMBL1173814,2770.0,nM,COc1ccc(C2CC(c3ccc(C)c(C)c3)=NN2C(N)=S)cc1,5.557520230935552,339.140533292,3,1,3.7067400000000017,True
1421,1421,CHEMBL316127,2776.0,nM,O=C(/C=C/CN1CCOCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,5.556580538217183,467.09568704400004,6,2,3.9628000000000014,True
1422,1422,CHEMBL5186298,2790.0,nM,FC(F)(F)c1ccc(/C=C/c2nc(CNc3ccccc3Cl)co2)cc1,5.554395796726403,378.07467540799996,3,1,6.129300000000003,True
1423,1423,CHEMBL196018,2800.0,nM,CCOC(=O)c1cn2ncnc(Nc3ccc(F)c(Cl)c3)c2c1CC,5.552841968657781,362.094581652,6,1,4.004500000000003,True
1425,1425,CHEMBL93537,2808.0,nM,O=C(/C=C/CN1CCSCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,5.551602896542232,483.07284342400004,6,2,4.679400000000004,True
1426,1426,CHEMBL1683956,2900.0,nM,CCc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C,5.537602002101044,371.120068128,4,1,5.462520000000003,True
1427,1427,CHEMBL3218001,2900.0,nM,C#Cc1cccc(Nc2ncnc3ccc(S(=O)(=O)n4ccc(/C=C/C(=O)Nc5ccccc5N)c4)cc23)c1,5.537602002101044,534.1474095640001,8,3,4.627300000000003,True
1428,1428,CHEMBL2112369,2921.0,nM,COC[C@@H]1CCCN1C/C=C\C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,5.53446844302645,495.12698717200004,6,2,4.741400000000003,True
